<--J-value data from chemistry code: id#, reaction,       factor/fastJX/code(a6)
  88 ISNP      PHOTON    OH HO2 RCHO NO2                   1.000 /CH3OOH/
  89 VRP       PHOTON    OH HO2 CH2O MCO3 GLYC MGLY        1.000 /CH3OOH/
  90 MRP       PHOTON    OH HO2 HAC CO CH2O                1.000 /CH3OOH/
  91 MAOP      PHOTON    OH CH2O MCO3                      1.000 /CH3OOH/
  92 MACRN     PHOTON    NO2 HCA MGLY CH2O HO2 CO          1.000 /MACRN /
  93 MVKN      PHOTON    GLYC NO2 MCO3                     1.000 /MVKN  /   
  94 ISOPNB    PHOTON    OH HO2 RCHO                       1.000 /ONIT1 /
  95 ISOPND    PHOTON    OH HO2 RCHO                       1.000 /ONIT1 /  
  96 PROPNN    PHOTON    CH2O NO2 CO MO2                   1.000 /PROPNN/
  97 ATOOH     PHOTON    OH HO2 RCHO                       1.000 /CH3OOH/
  98 R4N2      PHOTON    NO2 ACET MEK MO2 HO2 ALD2...      1.000 /CH3NO3/
  99 MAP       PHOTON    OH        MO2                     1.000 /CH3OOH/
 100 SO4       PHOTON    SO2       OH        OH            1.000 /H2SO4 /
 101 ClOO      PHOTON    Cl        O2                      1.000 /ClOO  /
 102 O3        PHOTON    O2        O(1D)                   1.000 /O3(1D)/
 103 MPN       PHOTON    HO2       NO3       HCHO          0.050 /MPN   /
 104 MPN       PHOTON    MO2       NO2                     0.950 /MPN   /
 105 PIP       PHOTON    RCHO OH HO2                       1.000 /H2O2  /
 106 IPMN      PHOTON    IMAO3 NO2 CO2 CH2O MCO3 NO3       1.000 /PAN   /
 107 ETHLN     PHOTON    NO2 CH2O CO HO2                   1.000 /ETHLN /
 108 DHDC      PHOTON    MGLY GLYX  OH                     1.000 /MeAcr /
 109 HPALD     PHOTON    MGLY HAC GLYC MCO3 CO HO2 OH      1.000 /MeAcr /
 110 ISN1      PHOTON    NO2 HO2 GLYC GLYX MGLY CH2O HAC   1.000 /MeAcr /
 111 MONITS    PHOTON    MEK  NO2                          1.000 /ONIT1 /
 112 MONITU    PHOTON    RCHO NO2                          1.000 /ONIT1 /
 113 HONIT     PHOTON    HAC  NO2                          1.000 /ONIT1 /
 114 I2        PHOTON    I         I                       1.000 /I2    /
 115 HOI       PHOTON    I         OH                      1.000 /HOI   /
 116 IO        PHOTON    I         O                       1.000 /IO    /
 117 OIO       PHOTON    I         O2                      1.000 /OIO   /
 118 INO       PHOTON    I         NO                      1.000 /INO   /
 119 IONO      PHOTON    I         NO2                     1.000 /IONO  /
 120 IONO2     PHOTON    I         NO3                     1.000 /IONO2 /
 121 I2O2      PHOTON    I         OIO                     1.000 /I2O2  /
 122 CH3I      PHOTON    I         PRODUCTS                1.000 /CH3I  /
 123 CH2I2     PHOTON    I         I         PRODUCTS      1.000 /CH2I2 /
 124 CH2ICl    PHOTON    I         Cl        PRODUCTS      1.000 /CH2ICl/
 125 CH2IBr    PHOTON    I         Br        PRODUCTS      1.000 /CH2IBr/
 126 I2O4      PHOTON    OIO       OIO                     1.000 /I2O2  /
 127 I2O3      PHOTON    OIO       IO                      1.000 /I2O3  /
 128 IBr       PHOTON    I         Br                      1.000 /IBr   /
 129 ICl       PHOTON    I         Cl                      1.000 /ICl   /
 130 NITs      PHOTON    HNO2                              1.000 /      /
 131 NITs      PHOTON    NO2                               1.000 /      /
 132 NIT       PHOTON    HNO2                              1.000 /      /
 133 NIT       PHOTON    NO2                               1.000 /      /
 134 MENO3     PHOTON    NO2       HO2       HCHO          1.000 /MENO3 /
 135 ETNO3     PHOTON    NO2       HO2       ALD2          1.000 /ETNO3 /
 136 IPRNO3    PHOTON    NO2       HO2       ACET          1.000 /IPRNO3/
 137 NPRNO3    PHOTON    NO2       HO2       RCHO          1.000 /NPRNO3/
9999
